STR_CODE,STR_NAME,STR_TYPE,FULL_NAME,STR_STATUS,PST_CLASS,OWN,DATE_ACCEPT,SOURCE,FDMID,OLD_FDMID,GSA_NAME,DATE_ACT,SYS_DATE,SHAPE_LENGTH,PID,ACQDISTYPE
9999,ISLEVILLE,ST,ISLEVILLE ST,OPEN,LOCAL STREET,HRM,NULL,CA,700000629,300003288,HALIFAX,2001-10-21 00:00:00.0000000,2020-11-09 00:00:00.0000000,11.6966835145039,40926859,NULL
9999,PALISADE,PL,PALISADE PL,OPEN,LOCAL STREET,HRM,NULL,DM,300000511,0,HALIFAX,2001-12-05 00:00:00.0000000,2020-11-09 00:00:00.0000000,45.4582119066735,40922973,NULL
9999,MAIN,RD,MAIN RD,OPEN,MAJOR COLLECTOR,HRM,NULL,DM,200001757,0,EASTERN PASSAGE,2001-09-17 00:00:00.0000000,2022-09-12 18:54:21.0000000,13.0132341267531,40950511,NULL
9999,TUSCANY,RUN,TUSCANY RUN,OPEN,LOCAL STREET,HRM,2021-08-27 00:00:00.0000000,SD,700011402,NULL,TIMBERLEA,2021-03-16 13:46:55.0000000,2023-03-13 18:45:57.0000000,229.455965698376,41468547,NULL
9999,FRANCES,ST,FRANCES ST,OPEN,LOCAL STREET,HRM,NULL,DM,200000402,0,DARTMOUTH,2001-11-08 00:00:00.0000000,2020-11-09 00:00:00.0000000,122.674602372399,40937815,PURCHASE
9999,OLD COBEQUID,RD,OLD COBEQUID RD,OPEN,LOCAL STREET,HRM,NULL,DM,100000799,0,WAVERLEY,2001-12-27 00:00:00.0000000,2020-11-09 00:00:00.0000000,58.1141195414769,40917536,NULL
9999,BEDFORD HILLS,RD,BEDFORD HILLS RD,OPEN,LOCAL STREET,HRM,NULL,DM,100001860,0,BEDFORD,2001-09-14 00:00:00.0000000,2020-11-09 00:00:00.0000000,94.9319983055807,40917015,PURCHASE
9999,GLEN ARBOUR,WAY,GLEN ARBOUR WAY,OPEN,MINOR COLLECTOR,HRM,NULL,CR,700002035,600001310,HAMMONDS PLAINS,2001-06-15 00:00:00.0000000,2024-06-06 18:06:06.0000000,261.106023860612,40814782,NULL
9999,DOYLE,ST,DOYLE ST,OPEN,LOCAL STREET,HRM,NULL,DM,100001090,0,BEDFORD,2001-09-18 00:00:00.0000000,2020-11-09 00:00:00.0000000,98.3179558203687,40916884,PURCHASE
9999,ATLANTIC,ST,ATLANTIC ST,OPEN,LOCAL STREET,HRM,NULL,DM,200001926,0,DARTMOUTH,2001-11-05 00:00:00.0000000,2020-11-09 00:00:00.0000000,217.737840956635,40937575,NULL
9999,SOUTHDALE,ST,SOUTHDALE ST,OPEN,LOCAL STREET,HRM,NULL,CR,200002166,0,DARTMOUTH,2001-11-05 00:00:00.0000000,2020-11-09 00:00:00.0000000,126.2210748194,40937286,NULL
9999,THOMPSON,RUN,THOMPSON RUN,OPEN,LOCAL STREET,HRM,1999-04-29 00:00:00.0000000,CR,700003864,0,HAMMONDS PLAINS,2001-06-15 00:00:00.0000000,2022-01-14 20:14:24.0000000,256.91977699444,40860884,NULL
9999,FIVE ISLAND,RD,FIVE ISLAND RD,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,CA,600000841,0,HUBLEY,2001-11-30 00:00:00.0000000,2022-05-31 13:32:14.0000000,129.066929530528,40896359,NULL
9999,MALLARD,DR,MALLARD DR,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,DM,700007605,600000827,HUBLEY,2001-11-30 00:00:00.0000000,2022-05-31 13:32:14.0000000,47.4576733561563,40896276,NULL
9999,PARTRIDGE NEST,DR,PARTRIDGE NEST DR,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,CR,400000352,0,MINEVILLE,2001-09-27 00:00:00.0000000,2022-05-31 13:32:14.0000000,405.318068274077,40953341,NULL
9999,ST MARGARETS BAY,RD,ST MARGARETS BAY RD,OPEN,ARTERIAL,HRM,2022-06-01 00:00:00.0000000,CR,700002259,600000103,HUBLEY,2001-12-12 00:00:00.0000000,2022-05-31 13:32:14.0000000,216.851922455875,40896193,NULL
9999,SOUTHGATE,DR,SOUTHGATE DR,OPEN,MINOR COLLECTOR,HRM,2005-03-23 00:00:00.0000000,DM,700002116,700002013,BEDFORD,2003-07-10 00:00:00.0000000,2020-11-09 00:00:00.0000000,71.8702885640548,41099888,NULL
9999,LARRIGAN,DR,LARRIGAN DR,OPEN,LOCAL STREET,HRM,1998-04-20 00:00:00.0000000,DM,100002628,0,MIDDLE SACKVILLE,2001-07-10 00:00:00.0000000,2020-11-09 00:00:00.0000000,295.352570675859,40695744,NULL
9999,HIGH,RD,HIGH RD,OPEN,MINOR COLLECTOR,HRM,2004-02-05 00:00:00.0000000,DM,700002108,0,FALL RIVER,2003-12-10 00:00:00.0000000,2020-11-09 00:00:00.0000000,183.494236312306,41125816,NULL
9999,COMMODORE,RD,COMMODORE RD,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,CA,600000799,0,LEWIS LAKE,2001-11-30 00:00:00.0000000,2022-05-31 13:32:14.0000000,151.164890204607,NULL,NULL
9999,HAMMONDS PLAINS,RD,HAMMONDS PLAINS RD,OPEN,ARTERIAL,HRM,2006-04-01 00:00:00.0000000,DM,700001256,600000088,HAMMONDS PLAINS,2001-11-09 00:00:00.0000000,2023-07-13 16:12:37.0000000,252.475841999615,40899288,NULL
9999,DYKE,RD,DYKE RD,OPEN,MAJOR COLLECTOR,HRM,NULL,CA,200002995,0,COW BAY,2001-09-17 00:00:00.0000000,2022-09-12 18:54:21.0000000,962.236134716451,40951816,NULL
9999,BEAVER BANK,RD,BEAVER BANK RD,OPEN,ARTERIAL,HRM,NULL,CS,100001366,0,LOWER SACKVILLE,2001-07-17 00:00:00.0000000,2020-11-09 00:00:00.0000000,213.035891137128,40912552,NULL
9999,RICHARDSON,DR,RICHARDSON DR,OPEN,LOCAL STREET,HRM,NULL,DM,200001615,0,WESTPHAL,2001-09-28 00:00:00.0000000,2022-09-12 18:54:21.0000000,68.5791799356776,40953614,NULL
9999,CODROY,CRES,CODROY CRES,OPEN,LOCAL STREET,HRM,NULL,DM,200002745,0,LAKE LOON,2001-10-03 00:00:00.0000000,2022-09-12 18:54:21.0000000,140.857703704427,40955668,NULL
9999,MALLARD,DR,MALLARD DR,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,CR,600000825,0,HUBLEY,2001-11-30 00:00:00.0000000,2022-05-31 13:32:14.0000000,225.05480155462,40896276,NULL
9999,WAVERLEY,RD,WAVERLEY RD,OPEN,MAJOR COLLECTOR,HRM,NULL,DM,200001631,0,DARTMOUTH,2001-10-24 00:00:00.0000000,2022-09-12 18:54:21.0000000,142.839743091532,40942245,TRANSFER
9999,WINDSOR,ST,WINDSOR ST,OPEN,MAJOR COLLECTOR,HRM,NULL,CA,300000588,0,HALIFAX,2001-12-16 00:00:00.0000000,2020-11-09 00:00:00.0000000,188.667118324506,40926248,NULL
9999,MILVERTON,RD,MILVERTON RD,OPEN,LOCAL STREET,HRM,NULL,CR,200000856,0,DARTMOUTH,2001-11-05 00:00:00.0000000,2020-11-09 00:00:00.0000000,261.054026370088,40937294,NULL
9999,HIGH,ST,HIGH ST,OPEN,LOCAL STREET,HRM,NULL,CR,100000549,0,BEDFORD,2001-09-18 00:00:00.0000000,2020-11-09 00:00:00.0000000,107.074807280791,40916843,NULL
9999,STATION,RD,STATION RD,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,DM,700008029,600000973,HEAD OF ST MARGARETS BAY,2001-11-14 00:00:00.0000000,2024-03-14 14:30:18.0000000,233.116123955173,40901613,NULL
9999,BOUTILIERS POINT,RD,BOUTILIERS POINT RD,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,DM,600000159,0,BOUTILIERS POINT,2001-11-13 00:00:00.0000000,2022-05-31 13:32:14.0000000,409.60897511777,40901431,NULL
9999,ABBEY,RD,ABBEY RD,OPEN,MINOR COLLECTOR,HRM,2001-08-10 00:00:00.0000000,DM,600001304,0,STILLWATER LAKE,2001-06-22 00:00:00.0000000,2020-11-09 00:00:00.0000000,675.92958414937,41049313,NULL
9999,MEDFORD,ST,MEDFORD ST,OPEN,LOCAL STREET,HRM,NULL,CR,200002523,0,DARTMOUTH,2001-11-02 00:00:00.0000000,2020-11-09 00:00:00.0000000,191.261041756916,40945420,NULL
9999,BAYERS,RD,BAYERS RD,OPEN,ARTERIAL,HRM,NULL,DM,300000998,0,HALIFAX,2001-12-06 00:00:00.0000000,2020-11-09 00:00:00.0000000,34.374428922947,40923260,NULL
9999,MARTIN LAKE,DR,MARTIN LAKE DR,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,CR,400000455,0,LAKE ECHO,2001-09-27 00:00:00.0000000,2022-05-31 13:32:14.0000000,202.638707506591,40956385,NULL
9999,BIG HUBLEY LAKE,DR,BIG HUBLEY LAKE DR,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,CR,600001322,0,HUBLEY,2001-11-30 00:00:00.0000000,2022-05-31 13:32:14.0000000,562.495739605154,40896227,NULL
9999,AFRICVILLE,RD,AFRICVILLE RD,OPEN,LOCAL STREET,HRM,NULL,DM,700007100,0,HALIFAX,2001-12-16 00:00:00.0000000,2020-11-09 00:00:00.0000000,318.920222382105,40928228,NULL
9999,JOAN,DR,JOAN DR,OPEN,LOCAL STREET,HRM,2002-01-28 00:00:00.0000000,DM,100002372,0,BEAVER BANK,2001-07-11 00:00:00.0000000,2020-11-09 00:00:00.0000000,889.317793769397,40855744,NULL
9999,LAWRENCETOWN,RD,LAWRENCETOWN RD,OPEN,ARTERIAL,HRM,2022-06-01 00:00:00.0000000,CR,400001056,0,LAWRENCETOWN,2001-09-28 00:00:00.0000000,2022-05-31 13:32:14.0000000,245.111888538108,40951444,NULL
9999,BAYERS,RD,BAYERS RD,OPEN,ARTERIAL,HRM,NULL,DM,700005472,0,HALIFAX,2001-12-06 00:00:00.0000000,2020-11-09 00:00:00.0000000,33.9830613081851,40923260,NULL
9999,OSPREY,WAY,OSPREY WAY,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,CR,400000236,0,LAWRENCETOWN,2001-09-28 00:00:00.0000000,2022-05-31 13:32:14.0000000,203.134046399434,40955114,NULL
