"OBJECTID","STR_CODE","STR_NAME","STR_TYPE","GSA_NAME","FULL_NAME","STR_STATUS","OWN","DATE_ACCEPT","PST_CLASS","SOURCE","FDMID","FROM_STREET","TO_STREET","SHAPE_LENGTH","SHORT_DESC","LONG_DESC","SURF_MAT","SDI","PAVE_WIDTH","RATE_DATE","NUM_CURB","WIDTH2","BASEVAL","SURFVAL","OLD_FDMID","DATE_RET","DATE_REV","DATE_ACT","SYS_DATE"
"6370","0","GOTTINGEN","ST","HALIFAX","GOTTINGEN ST","OPEN","HRM","","MAJOR COLLECTOR","DM","300000518","","","22.76021368","GOTTINGEN ST (SULLIVAN ST TO KAYE ST)","GOTTINGEN ST (HALIFAX)","ASPHALT","3.06800000","11.00000000","2013-04-22","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-22","2020-11-09"
"6371","0","FERNBROOK","CRT","DARTMOUTH","FERNBROOK CRT","OPEN","HRM","2003-01-30","LOCAL STREET","DM","200003312","","","114.58672284","","FERNBROOK CRT (DARTMOUTH)","ASPHALT","9.00100000","9.00000000","2015-11-02","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2002-04-30","2022-09-12"
"6372","0","TRINITY","LANE","BEAVER BANK","TRINITY LANE","OPEN","HRM","","LOCAL STREET","SD","100001615","","","173.28364216","TRINITY LANE (WOODS CRT TO BEAVER BANK RD)","TRINITY LANE (BEAVER BANK)","GRAVEL","0.00000000","10.00000000","1899-12-30","0","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-10","2020-11-09"
"6373","0","PINETREE","CRES","HAMMONDS PLAINS","PINETREE CRES","OPEN","HRM","2006-04-01","LOCAL STREET","DM","600000906","","","199.99130290","PINETREE CRES (GREENHILL RD TO DEEPWOOD DR)","PINETREE CRES (HAMMONDS PLAINS)","ASPHALT","5.64400000","6.40000000","2015-06-11","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-06-29","2020-11-09"
"6374","0","ROODE","CRT","COLE HARBOUR","ROODE CRT","OPEN","HRM","","LOCAL STREET","DM","200003105","","","256.25607725","ROODE CRT (RITCEY CRES TO END)","ROODE CRT (COLE HARBOUR)","ASPHALT","8.20300000","6.40000000","2014-05-07","0","9.40000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-09-25","2022-09-12"
"6375","0","AMETHYST","CRES","COLE HARBOUR","AMETHYST CRES","OPEN","HRM","2001-05-02","LOCAL STREET","DM","200001319","","","476.71378149","AMETHYST CRES (PEARL DR TO CARLISLE DR)","AMETHYST CRES (COLE HARBOUR)","ASPHALT","7.85700000","9.00000000","2014-05-13","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-09-20","2022-09-12"
"6376","0","SHORE","RD","EASTERN PASSAGE","SHORE RD","OPEN","HRM","","MINOR COLLECTOR","CA","200001780","","","215.76881356","SHORE RD (NORMANS LANE TO REDOUBT WAY)","SHORE RD (EASTERN PASSAGE)","ASPHALT","7.54300000","7.50000000","2014-10-06","1","9.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-09-11","2022-09-12"
"6377","0","TRINITY","LANE","BEAVER BANK","TRINITY LANE","OPEN","HRM","","LOCAL STREET","SD","100000029","","","913.56610416","TRINITY LANE (SPRUCE GROVE CRT TO WOODS CRT)","TRINITY LANE (BEAVER BANK)","GRAVEL","0.00000000","10.00000000","1899-12-30","0","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-10","2020-11-09"
"6378","0","PATTON","RD","UPPER SACKVILLE","PATTON RD","OPEN","HRM","","MINOR COLLECTOR","CA","100002298","","","574.24318061","PATTON RD (ROTHWELL ST TO SACKVILLE DR)","PATTON RD (UPPER SACKVILLE)","ASPHALT","9.84400000","6.40000000","2013-11-19","0","9.40000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-05-14","2020-11-09"
"6379","0","SACKVILLE","DR","MIDDLE SACKVILLE","SACKVILLE DR","OPEN","HRM","","ARTERIAL","CA","100001355","","","378.53072650","SACKVILLE DR (WILSON LAKE DR to RYDER LANE)","SACKVILLE DR (MIDDLE SACKVILLE)","ASPHALT","7.32200000","10.40000000","2014-01-28","0","13.40000000","0.00000000","0.00000000","0.00000000","2021-08-06","2025-03-05","2001-07-06","2021-09-07"
