"ASSET_ID","GROUP_ID","ACQ_TYPE","PID","ACQ_COST","ASSET_TYPE","OWNER","DISPOSAL","MAIN_CLASS","ACQ_DATE","DISP_DATE","DISP_TYPE","ACQDISPSOURCE","LAND_NAME","HECTARES","SERV_CAT","PARK_ID","PARK_NAME","REPL_COST","HRWC_FLAG","ASSET_RECORD_COUNT","HRM_PARCEL_ADDDATE","HRM_PARCEL_MODDATE"
"1832","1966","LAND","00303305","","LAND","PRIV","Y","OPN","","2013-12-04","SOLD","Transaction Summary","DUNBRACK ST - OPEN SPACE AND BUFFER","0.135","G","","","","","1","2007-11-06","2024-08-14"
"1833","5017","LAND","40541690","0.00000000","LAND","HRM","","OPN","1991-02-25","","","Transaction Summary","LINEAR PARK","7.426","G","5064","LINEAR PARK","","","1","2007-11-06","2017-06-27"
"1834","1968","LAND","00280412","0.00000000","LAND","HRM","","VAC","1987-05-01","","","Transaction Summary"," ","0.004","H","","","","","1","2007-11-06","2017-03-24"
"1835","1969","LAND","40774184","0.00000000","LAND","HRM","","OPN","1997-09-29","","","Transaction Summary","GLENBOURNE PARK","4.160","G","1969","GLENBOURNE PARK","","","1","2007-11-06","2017-06-27"
"1836","1966","LAND","00304121","0.00000000","LAND","HRM","","OPN","1954-01-01","","","Transaction Summary","DUNBRACK ST - OPEN SPACE AND BUFFER","0.364","G","","","","","1","2007-11-06","2017-03-24"
"1837","1971","LAND","40372245","0.00000000","LAND","HRM","","OPN","1986-12-01","","","Transaction Summary","ROCKINGHAM RIDGE PARK","0.690","G","1971","ROCKINGHAM RIDGE PARK","","","1","2007-11-06","2017-06-27"
"1838","1971","LAND","40091001","0.00000000","LAND","HRM","","OPN","1986-01-31","","","Transaction Summary","ROCKINGHAM RIDGE PARK","0.013","G","1971","ROCKINGHAM RIDGE PARK","","","1","2007-11-06","2017-06-27"
"1839","5017","LAND","40768814","0.00000000","LAND","HRM","","OPN","1996-10-07","","","Transaction Summary","LINEAR PARK","0.049","G","5064","LINEAR PARK","","","1","2007-11-06","2017-06-27"
"1840","5017","LAND","41068503","0.00000000","LAND","HRM","","OPN","2003-01-13","","","Transaction Summary","LINEAR PARK","0.016","G","5064","LINEAR PARK","","","1","2007-11-06","2017-06-27"
"1841","5017","LAND","00641373","0.00000000","LAND","HRM","","OPN","1986-11-01","","","Transaction Summary","LINEAR PARK","2.340","G","5064","LINEAR PARK","","","1","2007-11-06","2017-06-27"
"1842","1976","LAND","40459430","0.00000000","LAND","HRM","","OPN","1987-09-01","","","Transaction Summary","REMINGTON COURT PARK","0.802","G","1976","REMINGTON COURT PARK","","","1","2007-11-06","2017-06-27"
"1843","5017","LAND","40700304","0.00000000","LAND","HRM","","OPN","1995-04-01","","","Transaction Summary","LINEAR PARK","0.020","G","5064","LINEAR PARK","","","1","2007-11-06","2017-06-27"
"1845","1889","LAND","40832693","0.00000000","LAND","HRM","","OPN","2005-10-21","","","Transaction Summary","BELCHERS MARSH PARK","1.911","G","1889","BELCHERS MARSH PARK","","","1","2007-11-06","2017-06-27"
"1847","5017","LAND","40343485","0.00000000","LAND","HRM","","OPN","1987-12-01","","","Transaction Summary","LINEAR PARK","0.251","G","5064","LINEAR PARK","","","1","2007-11-06","2017-06-27"
"1850","5017","LAND","40672974","0.00000000","LAND","HRM","","OPN","1995-04-01","","","Transaction Summary","LINEAR PARK","0.013","G","5064","LINEAR PARK","","","1","2007-11-06","2017-06-27"
"1851","5017","LAND","40672982","0.00000000","LAND","HRM","","OPN","1995-04-01","","","Transaction Summary","LINEAR PARK","0.014","G","5064","LINEAR PARK","","","1","2007-11-06","2017-06-27"
"1853","1889","LAND","40832685","0.00000000","LAND","HRM","","OPN","2005-10-21","","","Transaction Summary","BELCHERS MARSH PARK","0.523","G","1889","BELCHERS MARSH PARK","","","1","2007-11-06","2017-06-27"
"1854","1988","LAND","40431827","0.00000000","LAND","HRM","","OPN","1987-05-01","","","Transaction Summary"," ","0.365","G","1988","CHELTON WOODS PARK","","","1","2007-11-06","2017-06-27"
"1855","1889","LAND","40866469","0.00000000","LAND","HRM","","OPN","2002-03-05","","","Transaction Summary","BELCHERS MARSH PARK","5.407","G","1889","BELCHERS MARSH PARK","","","1","2007-11-06","2017-06-27"
"1856","1890","LAND","40348526","0.00000000","LAND","HRM","","OPN","1987-12-01","","","Transaction Summary","MONTGOMERY COURT PARK","0.542","G","1890","MONTGOMERY COURT PARK","","","1","2007-11-06","2017-06-27"
"1857","5017","LAND","40700858","0.00000000","LAND","HRM","","OPN","1996-06-11","","","Transaction Summary","LINEAR PARK","0.011","G","5064","LINEAR PARK","","","1","2007-11-06","2017-06-27"
